Error	Name
1.23625	UCCSD
-0.28532	UCCSD
0.63355	UCCSD
0.95818	UCCSD
2.09176	UCCSD
2.13741	UCCSD
0.7072	UCCSD
1.63762	UCCSD
0.8828	UCCSD
0.82435	UCCSD
1.31432	UCCSD
1.35714	UCCSD
2.17009	UCCSD
1.09861	UCCSD
1.49964	UCCSD
-0.23637	UCCSD
0.77061	UCCSD
0.82866	UCCSD
-0.18013	UCCSD
0.71888	UCCSD
0.40897	UCCSD
0.61649	UCCSD
0.70499	UCCSD
0.324	UCCSD
0.09177	UCCSD
0.18729	UCCSD
1.71715	UCCSD
1.33329	UCCSD
0.62531	UCCSD
2.21517	UCCSD
1.27046	UCCSD
0.83684	UCCSD
0.8371	UCCSD
2.34598	UCCSD
2.01158	UCCSD
1.409	UCCSD
-0.42754	UCCSD
0.77309	UCCSD
0.97005	UCCSD
0.62589	UCCSD
0.4963	UCCSD
0.61815	UCCSD
0.67915	UCCSD
0.8062	UCCSD
0.37497	UCCSD
0.88281	UCCSD
0.92367	UCCSD
1.80636	UCCSD
0.8184	UCCSD
0.5711	UCCSD
1.14649	UCCSD
-0.48743	UCCSD
-0.45717	UCCSD
1.12784	UCCSD
1.22484	UCCSD
1.16246	UCCSD
0.99086	UCCSD
1.27717	UCCSD
-0.78867	UCCSD
1.30145	UCCSD
0.85138	UCCSD
-0.08039	UCCSD
1.24694	UCCSD
0.63905	UCCSD
0.13599	UCCSD
0.53407	UCCSD
0.6373	UCCSD
0.76337	UCCSD
0.64219	UCCSD
1.12469	UCCSD
-0.24957	UCCSD
1.25294	UCCSD
1.11857	UCCSD
-0.67566	UCCSD
1.16515	UCCSD
-0.86269	UCCSD
0.93892	UCCSD
1.71146	UCCSD
0.73752	UCCSD
0.5718	UCCSD
-1.17796	UCCSD
0.74471	UCCSD
1.64271	UCCSD
1.06053	UCCSD
1.17645	UCCSD
0.47898	UCCSD
-0.02301	UCCSD
0.56558	UCCSD
0.42752	UCCSD
0.63638	UCCSD
0.94841	UCCSD
1.03817	UCCSD
1.37376	UCCSD
0.99426	UCCSD
1.49407	UCCSD
0.27029	UCCSD
-0.62488	UCCSD
1.85593	UCCSD
1.55022	UCCSD
1.31133	UCCSD
0.78517	UCCSD
1.32344	UCCSD
1.11509	UCCSD
1.04896	UCCSD
1.02421	UCCSD
0.55113	UCCSD
2.05901	UCCSD
0.79934	UCCSD
1.33155	UCCSD
0.87772	UCCSD
0.45565	UCCSD
0.30973	UCCSD
0.35809	UCCSD
0.38066	UCCSD
0.98302	UCCSD
0.00955	UCCSD
1.21374	UCCSD
0.75883	UCCSD
0.12751	UCCSD
0.69363	UCCSD
2.05658	UCCSD
1.49939	UCCSD
1.27899	UCCSD
0.0643	UCCSD
1.76494	UCCSD
1.04042	UCCSD
2.86548	UCCSD
-0.20761	UCCSD
0.55816	UCCSD
1.14904	UCCSD
-0.65149	UCCSD
1.76135	UCCSD
0.81932	UCCSD
0.46749	UCCSD
0.60664	UCCSD
0.55275	UCCSD
0.89515	UCCSD
1.10169	UCCSD
0.7118	UCCSD
0.94906	UCCSD
1.33841	UCCSD
0.52658	UCCSD
-0.84319	UCCSD
0.54593	UCCSD
0.79426	UCCSD
1.21167	UCCSD
0.90058	UCCSD
0.48671	UCCSD
1.26293	UCCSD
1.23372	UCCSD
-0.55912	UCCSD
-0.39955	UCCSD
1.12292	UCCSD
0.54041	UCCSD
0.24709	UCCSD
0.16819	UCCSD
0.44572	UCCSD
0.53645	UCCSD
0.54742	UCCSD
0.23886	UCCSD
0.83396	UCCSD
0.81721	UCCSD
-0.60388	UCCSD
0.79394	UCCSD
1.7155	UCCSD
0.33104	UCCSD
1.23261	UCCSD
1.00387	UCCSD
-0.05119	UCCSD
2.44742	UCCSD
1.17829	UCCSD
0.49931	UCCSD
1.14585	UCCSD
1.17858	UCCSD
1.60399	UCCSD
1.06207	UCCSD
0.30468	UCCSD
0.50132	UCCSD
0.21268	UCCSD
0.91821	UCCSD
0.35926	UCCSD
0.8183	UCCSD
0.71795	UCCSD
0.33121	UCCSD
0.39234	UCCSD
1.16153	UCCSD
1.45738	UCCSD
1.35049	UCCSD
0.63801	UCCSD
0.62437	UCCSD
1.23426	UCCSD
0.08019	UCCSD
1.25573	UCCSD
0.47441	UCCSD
-0.41009	UCCSD
-0.76278	UCCSD
2.06454	UCCSD
0.33711	UCCSD
0.29153	UCCSD
1.03804	UCCSD
0.7625	UCCSD
0.46896	UCCSD
0.45211	UCCSD
0.07607	UCCSD
0.7937	UCCSD
0.8953	UCCSD
0.81806	UCCSD
0.26366	UCCSD
0.54719	UCCSD
0.5458	UCCSD
-1.08027	UCCSD
-0.40517	UCCSD
-0.03474	UCCSD
-0.06341	UCCSD
1.89979	UCCSD
0.88037	UCCSD
